マンション名,都,区,区域,間取り,間取りDK,間取りK,間取りL,間取りS,築年数,建物高さ,階,専有面積,賃料+管理費,敷/礼,路線1,駅1,徒歩1,賃料,管理費,敷金,礼金,予測価格,test-predict,ratio[%]
ＪＲ山手線神田駅13階建築4年,東京都,千代田区,内神田１,1,0,0,0,0,4,13,2,25,149000,278000,ＪＲ山手線,神田駅,5,139000,10000,139000,139000,150000,-1000,0.7
パークルール神田司町ロンド,東京都,千代田区,神田司町２,2,1,0,1,0,5,12,6,44,259000,239000,東京メトロ丸ノ内線,淡路町駅,3,239000,20000,239000,0,259000,0,0.0
ＪＲ総武線浅草橋駅11階建新築,東京都,千代田区,東神田３,2,1,0,1,0,0,11,6,51,262000,0,ＪＲ総武線,浅草橋駅,6,244000,18000,0,0,262000,0,0.0
ハミルトンプレイス,東京都,千代田区,三番町,2,1,0,1,0,17,9,8,156,665000,1300000,東京メトロ東西線,九段下駅,9,650000,15000,650000,650000,665000,0,0.0
Ｌａ　Ｐｅｒｌａ岩本町,東京都,千代田区,岩本町２,1,1,0,1,0,3,9,7,36,165000,300000,都営新宿線,岩本町駅,5,150000,15000,150000,150000,165000,0,0.0
ＪＲ中央線御茶ノ水駅12階建築8年,東京都,千代田区,神田神保町１,1,0,0,0,0,8,12,2,25,111000,99000,ＪＲ中央線,御茶ノ水駅,8,99000,12000,0,99000,100000,11000,9.9
宮島ビル,東京都,千代田区,飯田橋１,1,0,0,0,0,39,6,4,14,73000,146000,東京メトロ東西線,飯田橋駅,5,73000,0,73000,73000,73000,0,0.0
フェルクルール秋葉原,東京都,千代田区,外神田６,1,0,0,0,0,9,10,3,24,118000,0,東京メトロ銀座線,末広町駅,3,103000,15000,0,0,131000,-13000,11.0
シュトラーレ四番町,東京都,千代田区,四番町,1,1,0,1,0,3,4,4,46,222000,218000,都営新宿線,市ケ谷駅,4,218000,4000,0,218000,198000,24000,10.8
トーア岩本町マンション,東京都,千代田区,岩本町１,1,0,0,0,0,42,9,2,18,83000,0,東京メトロ日比谷線,小伝馬町駅,5,74000,9000,0,0,77400,5600,6.7
パークタワー秋葉原,東京都,千代田区,神田練塀町,2,1,0,1,0,17,22,16,59,268000,759000,ＪＲ山手線,秋葉原駅,4,253000,15000,253000,506000,268000,0,0.0
ＪＲ中央線市ケ谷駅9階建築2年,東京都,千代田区,三番町,2,1,0,1,0,2,9,8,63,299000,558000,ＪＲ中央線,市ケ谷駅,9,279000,20000,279000,279000,270000,29000,9.7
ＪＲ総武線市ケ谷駅9階建築18年,東京都,千代田区,三番町,1,0,0,0,0,18,9,5,30,142000,270000,ＪＲ総武線,市ケ谷駅,7,135000,7000,135000,135000,142000,0,0.0
フレッシア永田町,東京都,千代田区,永田町２,1,0,0,0,0,21,10,2,40,161000,302000,東京メトロ丸ノ内線,赤坂見附駅,3,151000,10000,151000,151000,161000,0,0.0
アルビオ・ザ・タワー千代田飯田橋,東京都,千代田区,飯田橋４,1,1,0,1,0,2,24,7,44,260000,500000,東京メトロ東西線,飯田橋駅,2,250000,10000,250000,250000,260000,0,0.0
グレンパーク秋葉原イースト,東京都,千代田区,岩本町３,1,0,0,0,0,19,13,9,26,105000,186000,都営新宿線,岩本町駅,3,93000,12000,93000,93000,106000,-1000,1.0
坂の上テラス,東京都,千代田区,九段南２,1,0,0,0,0,14,10,3,31,143000,276000,東京メトロ東西線,九段下駅,7,138000,5000,276000,0,143000,0,0.0
ザ・パークハビオSOHO大手町,東京都,千代田区,内神田１,1,0,0,0,0,0,13,3,25,155000,135000,東京メトロ丸ノ内線,淡路町駅,5,135000,20000,135000,0,155000,0,0.0
VICOLOヴィコロ,東京都,千代田区,神田淡路町１,1,0,0,0,0,16,7,1,26,450000,1350000,東京メトロ千代田線,新御茶ノ水駅,1,450000,0,900000,450000,144000,306000,68.0
ＪＲ中央線市ケ谷駅地下1地上19階建築6年,東京都,千代田区,三番町,1,1,0,1,0,6,19,2,53,300000,560000,ＪＲ中央線,市ケ谷駅,6,280000,20000,280000,280000,300000,0,0.0
リブ九段,東京都,千代田区,九段北１,1,0,0,0,0,42,7,4,34,120000,220000,東京メトロ東西線,九段下駅,1,110000,10000,110000,110000,120000,0,0.0
アウラ九段,東京都,千代田区,九段南３,1,0,0,0,0,23,7,4,22,93000,0,都営新宿線,市ケ谷駅,5,87000,6000,0,0,95000,-2000,2.2
都営新宿線市ケ谷駅地下1地上8階建築34年,東京都,千代田区,九段南４,1,0,0,0,0,34,8,2,32,116000,318000,都営新宿線,市ケ谷駅,2,106000,10000,212000,106000,148000,-32000,27.6
ＪＲ中央線神田駅8階建築20年,東京都,千代田区,東神田１,1,0,0,0,0,20,8,4,22,95000,0,ＪＲ中央線,神田駅,10,80000,15000,0,0,95000,0,0.0
都営新宿線岩本町駅15階建築18年,東京都,千代田区,岩本町３,1,0,0,0,0,18,15,11,26,104000,288000,都営新宿線,岩本町駅,2,96000,8000,96000,192000,104000,0,0.0
ＪＲ中央線飯田橋駅16階建築39年,東京都,千代田区,飯田橋４,3,1,0,1,0,39,16,16,72,250000,420000,ＪＲ中央線,飯田橋駅,1,210000,40000,210000,210000,250000,0,0.0
東京メトロ半蔵門線神保町駅6階建築62年,東京都,千代田区,西神田２,1,0,0,0,0,62,6,5,13,65000,124000,東京メトロ半蔵門線,神保町駅,6,62000,3000,62000,62000,73000,-8000,12.3
半蔵門レジデンス,東京都,千代田区,平河町１,1,1,0,1,0,5,14,3,40,182000,546000,東京メトロ半蔵門線,半蔵門駅,3,167000,15000,364000,182000,182000,0,0.0
プチグランデ秋葉原,東京都,千代田区,神田佐久間町２,1,0,0,0,0,10,9,4,23,114000,212000,東京メトロ日比谷線,秋葉原駅,1,106000,8000,106000,106000,114000,0,0.0
東京メトロ半蔵門線半蔵門駅地下1地上16階建築9年,東京都,千代田区,平河町２,1,1,0,1,0,9,16,2,40,220000,440000,東京メトロ半蔵門線,半蔵門駅,7,220000,0,220000,220000,220000,0,0.0
ＪＲ総武線快速新日本橋駅15階建築20年,東京都,千代田区,岩本町１,1,1,0,1,0,20,15,4,37,159000,149000,ＪＲ総武線快速,新日本橋駅,3,149000,10000,149000,0,159000,0,0.0
番町パークハウス,東京都,千代田区,四番町,2,1,0,1,0,16,17,8,63,350000,1050000,ＪＲ中央線,市ケ谷駅,3,350000,0,700000,350000,380000,-30000,8.6
APEX秋葉原　エイペックス秋葉原,東京都,千代田区,外神田５,1,0,0,0,0,5,5,4,19,113000,107000,東京メトロ銀座線,末広町駅,3,107000,6000,107000,0,88000,25000,22.1
フラット九段南,東京都,千代田区,九段南３,1,0,0,0,0,37,8,4,23,91000,160000,都営新宿線,市ケ谷駅,4,80000,11000,80000,80000,74000,17000,18.7
ロジェ二番町,東京都,千代田区,二番町,1,0,0,0,0,18,10,4,43,158000,474000,東京メトロ有楽町線,麹町駅,2,158000,0,316000,158000,157000,1000,0.6
